permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
3d-control-systems,3DPrinterOS,http://www.3DPrinterOS.com,3D@@3D Printing@@3D Technology@@CAD@@Enterprise Software@@Industrial Automation@@Software,-,operating,USA,CA,SF Bay Area,San Francisco,1,2013-03-01,2013-11-10,2013-11-10
3d-data,3D Data,http://3ddataltd.com,3D Technology@@Sensors,500000,operating,USA,MA,Boston,Quincy,2,2013-01-01,2014-06-02,2015-02-19
3d-eye-solutions,3D Eye Solutions,http://www.3deyesolutions.com,3D@@3D Technology@@Digital Signage,380000,operating,USA,FL,Orlando,Longwood,2,,2008-08-11,2010-04-06
3d-forms,3D Forms,,,-,operating,,,,,1,,2013-09-16,2013-09-16
3d-future-vision-ii,3D FUTURE VISION II,http://www.3dfuturevision.com,Games,503000,closed,USA,FL,Orlando,Longwood,2,2011-01-01,2011-06-22,2013-03-21
3d-heights,3D HEIGHTS,http://3dheights.com,Photography@@Video,350000,operating,USA,NY,New York City,New York,1,2013-02-18,2015-01-14,2015-01-14
3d-hubs,3D Hubs,http://www.3dhubs.com,3D Printing@@Collaborative Consumption@@Local@@Marketplaces,4500000,operating,NLD,7,Amsterdam,Amsterdam,2,2013-04-01,2013-08-27,2014-09-02
3d-industri-es,3D Industri.es,http://www.3dindustri.es,3D@@Curated Web@@Manufacturing@@Search@@Supply Chain Management@@Visualization,1200000,operating,GBR,H9,London,London,2,2012-01-01,2012-03-01,2013-03-01
3d-intelligent-pathological-medical-image-solutions,3D Intelligent Pathological Medical Image Solutions,,Alumni,12500,operating,,,,,1,,2015-08-01,2015-08-01
3d-operations-inc,"3D Operations, Inc.",http://www.3dops.co,3D Printing@@Health and Wellness@@Health Care,7500,operating,USA,TN,Chattanooga,Chattanooga,1,2014-06-18,2014-05-15,2014-05-15
3d-product-imaging,3D Product Imaging,http://3dproductimaging.com/,3D@@3D Technology@@E-Commerce@@Internet@@Online Shopping,240000,operating,USA,WA,Seattle,Seattle,2,2013-01-01,2014-01-01,2014-05-15
3d-robotics,3D Robotics,http://3drobotics.com,Drones@@Manufacturing,99000000,operating,USA,CA,San Diego,San Diego,4,2009-01-01,2012-11-05,2015-04-23
3d-simo-2,3D simo,http://3dsimo.com,,-,closed,,,,,1,,2014-12-01,2014-12-01
3d-sound-labs,3D Sound Labs,http://www.3dsoundlabs.com,Hardware + Software,1168005,operating,FRA,A2,FRA - Other,Cesson-sévigné,1,2014-01-01,2015-03-12,2015-03-12
3d-sports-technology,3D Sports Technology,http://3dsportstech.com,Software,909940,operating,USA,MN,Minneapolis,Minneapolis,3,2010-01-01,2011-01-21,2013-07-25
3d-systems,3D Systems,http://www.3dsystems.com,Software,169500000,ipo,USA,SC,SC - Other,Rock Hill,3,1986-01-01,2014-01-15,2014-10-13
3d-vision-systems,3d Vision Systems,,Hardware + Software,150000,operating,USA,MI,Detroit,Ann Arbor,1,2009-01-01,2012-12-03,2012-12-03
3d4medical-com,3D4Medical.com,http://applications.3d4medical.com,Health Care,16399999,operating,IRL,7,Dublin,Dublin,1,2004-01-01,2015-07-07,2015-07-07
3dbin,3DBin,http://3dbin.com,E-Commerce,400000,operating,USA,CA,SF Bay Area,Redwood City,1,2009-02-06,2014-10-12,2014-10-12
3dc,3DC,http://3dc.net/,Technology,-,acquired,BGR,42,Sofia,Sofia,1,2009-01-01,2009-01-01,2009-01-01
3dcart-shopping-cart-software,3dCart Shopping Cart Software,http://www.3dcart.com,E-Commerce,1250000,operating,USA,FL,Ft. Lauderdale,Lauderhill,1,1997-05-01,2010-01-01,2010-01-01
3dduo,3DDUO,http://www.3dduo.com/en,Business Services@@Video Games,701760,closed,FRA,B4,FRA - Other,Tourcoing,1,,2009-06-12,2009-06-12
3derm-systems,3Derm Systems,http://3derm.com,3D@@Medical@@Physicians,1880000,operating,USA,CT,Hartford,New Haven,4,2012-01-01,2013-04-02,2015-07-23
3diligent,3Diligent,http://www.3diligent.com,3D Printing@@Manufacturing,1150000,operating,USA,CA,Los Angeles,El Segundo,2,2014-07-23,2014-08-01,2015-03-15
3dim,3dim,http://3dimtech.com,3D Technology@@Human Computer Interaction@@Sensors,50000,operating,SVN,61,Ljubljana,Ljubljana,1,,2013-10-30,2013-10-30
3discovered,3Discovered,http://www.3discovered.com/,Automotive,-,operating,USA,IL,Chicago,Chicago,1,2013-01-01,2014-11-24,2014-11-24
3divaz-2,3DIVAZ,http://www.3divaz.ch/Home,,202250.031601567,closed,,,,,1,2014-07-01,2015-11-01,2015-11-01
3divaz-3,3DIVAZ,http://www.3divaz.ch/Home,,202250.031601567,operating,CHE,1,CHE - Other,Wildegg,1,2014-07-01,2015-11-01,2015-11-01
3divi-company,3DiVi Company,http://www.vicovr.com,3D@@Computer Vision@@Kinect@@Robotics@@Software,2670000,operating,RUS,13,RUS - Other,Miass,2,2011-04-01,2011-01-01,2012-10-01
3dlt-com,3DLT,http://3dlt.com,3D Printing@@Retail@@Technology,530000,operating,USA,KY,,,1,2012-12-01,2014-08-22,2014-08-22
3dmena,3Dmena,http://www.3Dmena.com,3D Printing@@3D Technology@@Printing,30000,operating,JOR,16,Amman,Amman,1,2014-08-03,2014-01-01,2014-01-01
3dmgame,3DMGAME,http://www.3dmgame.com/,Games@@Video,732064,operating,,,,,1,2001-01-01,2010-05-01,2010-05-01
3dphotoworks,3DPhotoWorks,http://www.3dphotoworks.com/,Printing,3000,operating,USA,NJ,Newark,Chatham,1,2011-01-01,2015-11-05,2015-11-05
3dphy-com,3DPhy.com,http://www.3dphy.com,Creative@@Digital Media,204952,closed,,,,,1,2013-11-21,2014-12-18,2014-12-18
3dplusme,3dplusme,http://3dplus.me,3D Printing,4247128,operating,USA,UT,Salt Lake City,Salt Lake City,3,,2014-04-06,2015-08-24
3dprintus,3DPrintus,http://3dprintus.ru,3D@@3D Printing@@Internet@@Manufacturing,220000,operating,,,,,1,2013-03-15,2014-01-15,2014-01-15
3dr-laboratories,3DR Laboratories,http://www.3drinc.com,Biotechnology,7436500,operating,USA,KY,Louisville,Louisville,2,,2009-05-29,2012-08-23
3dshook-2,3DShook,http://www.3dshook.com/,3D Printing@@Consumer Goods@@E-Commerce,-,operating,ISR,5,Tel Aviv,Tel Aviv,1,,2014-01-01,2014-01-01
3dsoc,3DSoC,http://www.3dsoc.com,3D@@Mobile,2065000,operating,IND,19,Bangalore,Bangalore,2,2006-06-01,2007-12-01,2010-08-01
3dt,3DT,http://3dtinc.com/,Finance@@Software@@Venture Capital,140000,operating,USA,AZ,Phoenix,Scottsdale,1,2014-02-01,2014-08-22,2014-08-22
3dvista,3DVista,http://www.3dvista.com,Curated Web,475000,operating,,,,,1,,2008-06-03,2008-06-03
3floz-com,3FLOZ,http://www.3floz.com,Automated Kiosk@@Brand Marketing@@Custom Retail@@Retail@@Travel,1387500,operating,USA,NY,New York City,New York,2,2009-11-01,2013-08-16,2015-01-16
3funnel,3Funnel,http://www.3funnel.com,Business Analytics@@E-Commerce@@Enterprise Software@@Visualization,-,operating,IRL,7,Dublin,Dublin,1,2013-02-01,2013-02-01,2013-02-01
3g-multimedia,3G Multimedia,http://www.3gm.hu,Android@@B2B@@Brand Marketing@@iPhone@@Mobile@@Music@@Video Streaming,1700000,operating,HUN,5,Budapest,Budapest,2,2009-09-15,2011-01-01,2012-07-01
3gear-systems,Nimble VR,http://nimblevr.com/,Software,2249999,acquired,USA,CA,SF Bay Area,San Francisco,2,2012-01-01,2012-03-30,2014-04-02
